label,size,median_ms,gflops,iters
cuBLAS,128,0.0105,399.658,100
cuBLAS,256,0.0153,2190.374,100
cuBLAS,512,0.0562,4776.975,100
cuBLAS,1024,0.4086,5255.888,100
cuBLAS,2048,3.3072,5194.631,18
cuBLAS,4096,26.5820,5170.374,3
sgemm_v0,128,0.0419,100.171,100
sgemm_v0,256,0.1964,170.821,100
sgemm_v0,512,1.3910,192.977,54
sgemm_v0,1024,10.9132,196.778,6
sgemm_v0,2048,86.9722,197.533,1
sgemm_v0,4096,809.3635,169.811,1
sgemm_v1,128,0.0200,210.186,100
sgemm_v1,256,0.0564,595.133,100
sgemm_v1,512,0.4219,636.210,100
sgemm_v1,1024,3.4243,627.139,19
sgemm_v1,2048,27.9839,613.920,2
sgemm_v1,4096,260.1390,528.329,1
sgemm_v2,128,0.0313,133.900,100
sgemm_v2,256,0.0507,661.750,100
sgemm_v2,512,0.2606,1030.166,100
sgemm_v2,1024,2.0950,1025.028,37
sgemm_v2,2048,16.6113,1034.226,4
sgemm_v2,4096,156.7560,876.770,1
sgemm_v3_TM1,128,0.0171,244.976,100
sgemm_v3_TM1,256,0.0371,904.194,100
sgemm_v3_TM1,512,0.2589,1037.003,100
sgemm_v3_TM1,1024,1.9797,1084.744,38
sgemm_v3_TM1,2048,15.9009,1080.432,4
sgemm_v3_TM1,4096,152.1418,903.361,1
sgemm_v3_TM8,128,0.0187,224.850,100
sgemm_v3_TM8,256,0.0297,1128.800,100
sgemm_v3_TM8,512,0.0996,2693.906,100
sgemm_v3_TM8,1024,0.6959,3086.044,100
sgemm_v3_TM8,2048,5.7044,3011.707,12
sgemm_v3_TM8,4096,56.8992,2415.483,1
