label,size,median_ms,gflops,iters
cuBLAS,128,0.0154,272.340,100
cuBLAS,256,0.0210,1600.000,100
cuBLAS,512,0.0621,4320.105,100
cuBLAS,1024,0.4058,5292.501,100
cuBLAS,2048,3.0118,5704.134,21
cuBLAS,4096,24.2408,5669.734,3
sgemm_v0,128,0.0384,109.110,100
sgemm_v0,256,0.2020,166.100,100
sgemm_v0,512,1.3925,192.771,54
sgemm_v0,1024,10.4338,205.820,7
sgemm_v0,2048,82.6706,207.811,1
sgemm_v0,4096,803.3832,171.075,1
sgemm_v1,128,0.0182,230.112,100
sgemm_v1,256,0.0553,606.253,100
sgemm_v1,512,0.4032,665.796,100
sgemm_v1,1024,3.1881,673.587,22
sgemm_v1,2048,26.9759,636.860,3
sgemm_v1,4096,252.4498,544.421,1
sgemm_v2,128,0.0172,244.100,100
sgemm_v2,256,0.0537,624.986,100
sgemm_v2,512,0.2703,993.195,100
sgemm_v2,1024,1.9326,1111.167,37
sgemm_v2,2048,16.3707,1049.430,4
sgemm_v2,4096,157.6868,871.594,1
