label,size,median_ms,gflops,iters
cuBLAS,128,0.0193,217.757,100
cuBLAS,256,0.0205,1638.400,100
cuBLAS,512,0.0543,4940.607,100
cuBLAS,1024,0.3629,5917.471,100
cuBLAS,2048,3.0071,5713.095,24
cuBLAS,4096,24.5907,5589.067,3
sgemm_v0,128,0.0401,104.650,100
sgemm_v0,256,0.2256,148.709,100
sgemm_v0,512,1.2893,208.195,54
sgemm_v0,1024,10.2028,210.480,6
sgemm_v0,2048,81.1334,211.748,1
sgemm_v0,4096,773.4610,177.693,1
sgemm_v1,128,0.0187,224.193,100
sgemm_v1,256,0.0547,613.748,100
sgemm_v1,512,0.3837,699.596,100
sgemm_v1,1024,3.1110,690.288,21
sgemm_v1,2048,26.8305,640.311,3
sgemm_v1,4096,243.4659,564.510,1
sgemm_v2,128,0.0183,229.339,100
sgemm_v2,256,0.0526,637.417,100
sgemm_v2,512,0.2495,1076.036,100
sgemm_v2,1024,1.8857,1138.820,37
sgemm_v2,2048,15.0645,1140.419,4
sgemm_v2,4096,141.6537,970.246,1
sgemm_v3_TM1,128,0.0141,297.674,100
sgemm_v3_TM1,256,0.0445,753.461,100
sgemm_v3_TM1,512,0.2488,1078.871,100
sgemm_v3_TM1,1024,1.8670,1150.255,34
sgemm_v3_TM1,2048,16.0794,1068.442,4
sgemm_v3_TM1,4096,154.9903,886.759,1
sgemm_v3_TM8,128,0.0221,189.981,100
sgemm_v3_TM8,256,0.0254,1323.542,100
sgemm_v3_TM8,512,0.0961,2794.480,100
sgemm_v3_TM8,1024,0.6763,3175.376,100
sgemm_v3_TM8,2048,5.3711,3198.573,13
sgemm_v3_TM8,4096,53.6812,2560.283,1
sgemm_v4,128,0.0209,200.391,100
sgemm_v4,256,0.0296,1131.883,100
sgemm_v4,512,0.0750,3579.246,100
sgemm_v4,1024,0.4475,4798.755,100
sgemm_v4,2048,3.8260,4490.312,19
sgemm_v4,4096,37.9908,3617.691,2
