label,size,median_ms,gflops,iters
cuBLAS,128,0.0119,352.496,100
cuBLAS,256,0.0244,1372.841,100
cuBLAS,512,0.0592,4538.013,100
cuBLAS,1024,0.3955,5429.801,100
cuBLAS,2048,3.3668,5102.781,21
cuBLAS,4096,27.2445,5044.641,3
sgemm_v0,128,0.0438,95.658,100
sgemm_v0,256,0.2014,166.589,100
sgemm_v0,512,1.3765,195.015,54
sgemm_v0,1024,10.8392,198.122,6
sgemm_v0,2048,85.7474,200.354,1
sgemm_v0,4096,776.7316,176.945,1
sgemm_v1,128,0.0402,104.250,100
sgemm_v1,256,0.0682,492.012,100
sgemm_v1,512,0.4213,637.202,100
sgemm_v1,1024,3.3320,644.503,22
sgemm_v1,2048,27.8764,616.288,2
sgemm_v1,4096,284.5265,483.044,1
