label,size,median_ms,gflops,iters
cuBLAS,128,0.0147,286.058,100
cuBLAS,256,0.0196,1712.045,100
cuBLAS,512,0.0588,4562.200,100
cuBLAS,1024,0.3748,5730.393,100
cuBLAS,2048,3.0061,5715.041,24
cuBLAS,4096,24.2306,5672.130,3
sgemm_v0,128,0.0389,107.704,100
sgemm_v0,256,0.2122,158.110,100
sgemm_v0,512,1.3443,199.681,54
sgemm_v0,1024,10.6545,201.557,6
sgemm_v0,2048,94.7374,181.342,1
sgemm_v0,4096,862.9501,159.266,1
sgemm_v1,128,0.0161,259.734,100
sgemm_v1,256,0.0585,573.359,100
sgemm_v1,512,0.3821,702.535,100
sgemm_v1,1024,3.8332,560.231,19
sgemm_v1,2048,28.5752,601.215,2
sgemm_v1,4096,270.4988,508.094,1
sgemm_v2,128,0.0203,206.172,100
sgemm_v2,256,0.0511,656.970,100
sgemm_v2,512,0.3196,839.855,100
sgemm_v2,1024,2.2492,954.794,36
sgemm_v2,2048,17.7973,965.308,4
sgemm_v2,4096,152.5061,901.203,1
