label,size,median_ms,gflops,iters
cuBLAS,128,0.0195,215.013,100
cuBLAS,256,0.0169,1990.728,100
cuBLAS,512,0.0723,3714.190,100
cuBLAS,1024,0.3942,5448.139,100
cuBLAS,2048,3.2713,5251.683,22
cuBLAS,4096,26.8319,5122.228,3
sgemm_v0,128,0.0436,96.131,100
sgemm_v0,256,0.2220,151.165,100
sgemm_v0,512,1.3945,192.501,55
sgemm_v0,1024,11.0247,194.788,6
sgemm_v0,2048,87.3738,196.625,1
sgemm_v0,4096,825.3962,166.513,1
sgemm_v1,128,0.0155,270.899,100
sgemm_v1,256,0.0565,593.408,100
sgemm_v1,512,0.4250,631.670,100
sgemm_v1,1024,3.4798,617.129,21
sgemm_v1,2048,28.7012,598.577,2
sgemm_v1,4096,264.3200,519.972,1
